Name,CC0h_1,CC0h_2,CC0h_3,CC4h_1,CC4h_2,CC4h_3,CC12h_1,CC12h_2,CC12h_3,MGC0h_1,MGC0h_2,MGC0h_3,MGC4h_1,MGC4h_2,MGC4h_3,MGC12h_1,MGC12h_2,MGC12h_3
Dab1,61,274,180,219,99,472,14,19,15,73,59,95,34,42,53,27,34,48
C8b,18,119,146,146,54,331,0,1,2,2,6,21,6,8,6,12,4,6
C8a,1,16,3,7,4,27,1,0,1,12,4,15,6,0,2,5,1,0
Gm17662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyb2,67,141,220,168,79,537,10,5,4,557,468,548,219,180,218,54,55,44
Prkaa2,202,301,385,213,194,305,138,120,157,1069,691,838,140,188,156,230,289,260
Plpp3,1048,1769,1074,7435,6661,5369,5172,5257,6021,1753,1214,1645,5160,6297,6263,10891,13003,13809
Gm12728,6,10,4,13,7,2,5,4,8,3,2,2,4,4,1,5,5,8
Gm24363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12729,0,0,1,4,0,2,5,0,3,2,2,2,3,3,1,0,1,1
Gm26047_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26047_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12724,0,8,0,2,2,2,0,1,1,1,1,1,2,0,1,3,1,2
Gm12730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37253,0,0,0,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0
Usp24,3220,3653,3262,4795,3770,3243,4279,4179,4449,6922,4931,5846,5246,5766,5731,4390,4934,5507
Pcsk9,581,572,401,689,595,301,3546,3522,3638,416,294,369,332,355,301,1191,971,1315
Bsnd,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0
Tmem61,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0
2700068H02Rik,6,4,8,0,2,0,2,0,8,4,0,5,4,4,2,0,6,6
Dhcr24,7882,7717,6357,4793,3549,2361,9913,10474,10110,10353,7049,7896,4750,3729,4904,10890,13444,13676
Gm12744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexm,0,2,3,0,0,1,3,1,0,3,0,1,1,3,0,3,1,1
Ttc22,3,0,0,2,0,1,0,0,1,4,5,3,0,0,3,2,2,0
Pars2,376,397,284,132,165,154,157,148,131,374,231,209,118,95,144,203,158,150
Ttc4,1502,2255,1903,1552,1176,1392,1194,1258,1324,2847,1987,2119,1124,1036,1180,1388,1307,1377
Mroh7,38,138,117,123,97,356,6,26,6,73,52,86,12,28,23,28,5,22
Fam151a,148,764,671,723,304,2047,1,2,1,43,72,156,33,56,38,82,34,46
Acot11,38,108,100,37,17,83,70,75,81,97,90,125,36,34,35,46,57,58
Gm12746,30,28,21,0,0,0,0,0,0,8,10,10,0,2,6,10,4,12
Ssbp3,4441,5337,5183,2242,1582,2492,2671,2474,2780,3430,2671,3124,1393,1250,1600,2128,2218,2254
Gm12786,0,0,2,0,0,0,0,4,4,2,2,1,0,0,0,0,8,2
Mrpl37,3580,4197,4004,3316,2560,2668,2559,2473,2775,4199,3260,3368,2115,2309,2376,2540,2825,3093
Cyb5rl,284,378,348,110,98,112,130,131,155,407,378,394,92,63,122,159,173,209
Cdcp2,0,2,2,11,0,4,1,0,0,0,2,1,0,0,0,2,0,5
Gm12802,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0
Tceanc2,736,1075,737,1075,683,878,976,1020,1150,908,721,775,497,504,471,729,742,769
Tmem59,3823,4541,3522,5240,4130,3692,7936,7904,8845,9079,7073,8376,6236,6501,6907,7793,8950,9421
Ldlrad1,7,0,2,4,2,0,0,6,14,20,6,13,8,13,6,6,9,9
Lrrc42,2399,3330,2704,3348,2063,3941,1946,2132,2602,3623,2744,3069,2128,2322,2190,1918,2025,2210
Hspb11,376,464,406,220,132,202,332,375,409,434,364,355,124,130,170,218,242,184
Dio1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Yipf1,1439,2412,1849,1561,913,1822,1262,1199,1402,1978,1591,1696,806,680,910,945,1005,1125
Gm12869,0,0,0,0,0,0,0,0,2,5,2,0,0,2,0,0,0,0
Ndc1,4626,5398,4797,3874,2917,2917,1779,1649,1974,5452,4126,4128,2699,2391,2688,2217,2107,2542
Gm24804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glis1,20,68,88,230,129,280,236,200,196,26,27,55,123,146,97,85,72,93
Dmrtb1,34,267,237,223,113,782,0,0,2,12,14,43,6,10,12,14,11,10
1700047F07Rik,8,18,37,28,23,73,0,0,2,2,0,10,2,1,3,6,1,1
Gm25123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12907,0,6,8,3,0,2,0,0,0,0,1,0,0,0,2,0,0,0
4933424M12Rik,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lrp8,8000,8389,8014,11300,10772,6289,5584,3960,5191,7047,5372,5149,10092,7890,9498,15001,16290,17886
Lrp8os2,12,16,4,0,0,1,4,0,0,10,4,0,2,0,8,6,0,10
Lrp8os1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Magoh,2225,2545,2376,3004,2387,2559,1448,1369,1729,1589,1108,1179,1074,1519,1330,1116,1127,1273
0610037L13Rik,1766,2262,2090,1399,1139,943,1080,1156,1182,2676,2098,2234,1236,1350,1334,1263,1193,1262
Cpt2,1398,1810,1615,1494,929,1379,1692,1674,1921,2213,1631,1668,796,819,940,1319,1405,1502
4930407G08Rik,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc1a7,0,0,0,12,18,25,6,0,0,2,2,1,5,4,5,2,2,6
Podn,9,22,13,33,26,24,39,34,28,21,24,39,15,20,35,31,22,59
Gm23354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scp2,4714,5319,5609,29640,25763,22300,47893,54953,53660,8037,6351,6762,45417,49087,51248,26831,31778,31943
Mir6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echdc2,2089,2553,2332,8878,5268,5222,8690,9748,9710,2993,2341,2702,5450,4825,5836,9928,14092,12561
Zyg11a,27,7,18,41,64,40,15,39,53,16,12,4,46,18,34,91,107,123
Zyg11b,1485,1910,1616,2682,1675,2166,2588,2493,2847,3229,2294,2676,1573,1898,1864,2070,2284,2479
Coa7,1422,1644,1506,1423,1029,944,701,676,764,1190,962,921,495,621,636,742,750,779
Shisal2a,891,1214,1037,521,496,309,169,143,170,168,130,151,53,83,54,70,53,45
Gpx7,7967,8515,7172,4926,4307,2893,3400,3287,3817,7336,5187,5762,1970,2291,2207,2024,1702,2235
Tut4,15527,18517,16467,9419,8547,5292,4721,4863,4928,25364,18367,19298,5447,5537,6279,6187,5241,6826
Gm24967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
