Name,CC4h_1,CC4h_2,CC4h_3,GC4h_1,GC4h_2,GC4h_3
Gm15983,39,28,49,28,14,26
Gm41414,49,37,123,8,12,11
n-R5s30,0,0,0,0,0,0
Rbfox1,902,800,880,567,570,515
1700123O21Rik,0,0,0,0,0,0
Gm49534,1,0,1,1,4,1
Gm23476,0,0,0,0,0,0
Gm26159,0,0,0,0,0,0
Gm24579,0,0,0,0,0,0
Tmem114,80,20,180,31,14,27
Gm25782,0,0,0,0,0,0
Mettl22,472,248,294,428,330,441
Gm23706,0,0,0,0,0,0
Abat,510,411,365,711,754,814
Gm22137,0,6,4,0,0,0
Tmem186,975,681,978,606,533,625
Pmm2,1512,1417,1160,1486,1339,1609
Carhsp1,12141,11742,9800,5666,6221,6274
Gm5767,0,0,2,4,8,6
Usp7,12061,8764,15594,7590,8279,8345
Gm25805,0,0,0,0,0,0
1810013L24Rik,4207,3027,3927,3653,3748,3412
Gm22224,0,0,0,0,0,0
Gm30371,1,2,0,0,2,0
Gm30567,1,2,0,1,1,1
Gm49448,37,11,46,6,10,20
Gm49451,1,2,2,0,0,1
Grin2a,364,113,900,19,29,26
Rpl39l,156,64,482,10,6,8
Gm49455,8,0,0,0,0,2
Atf7ip2,240,225,324,137,118,157
Gm24667,0,0,0,0,0,0
Gm22932,0,0,0,0,0,0
Emp2,380,195,690,219,304,291
Gm1600,2,1,1,0,0,0
Tekt5,2,1,2,1,2,0
Nubp1,1285,1199,974,1081,1212,1269
Tvp23a,286,222,151,289,248,294
Ciita,3,7,1,6,10,8
Dexi,1065,663,638,1038,994,1096
Clec16a,1422,1177,1157,1299,1375,1313
Gm15558,2,0,0,0,2,0
Socs1,496,381,552,171,191,190
Tnp2,0,2,6,2,0,0
Prm3,0,0,0,2,0,0
Prm2,15,4,48,4,2,2
Prm1,13,4,2,4,2,9
CT010583.1,2,3,0,0,0,0
Gm11172,0,0,0,0,0,0
Gm26822,43,30,25,35,36,30
Rmi2,246,205,285,180,121,238
Gm21859,21,4,52,3,4,9
Litaf,1098,846,1245,810,944,1025
Gm26268,0,0,0,0,0,0
Gm24961,0,0,0,0,0,0
Gm4262,0,0,0,0,0,0
Gm10832,0,0,0,0,0,0
Snn,430,362,338,835,567,801
Txndc11,4430,3668,3493,3064,3171,3355
Zc3h7a,9486,7234,5775,8235,7017,8303
Gm23935,0,0,0,0,0,0
Gm24145,0,0,0,0,0,0
4930509G22Rik,28,18,16,21,19,26
Rsl1d1,9203,6986,10484,3466,4124,4241
2610020C07Rik,1691,1428,825,1200,1331,1341
Gspt1,10376,8750,7278,6208,7544,6657
Mir1945,0,0,2,0,0,0
Tnfrsf17,2,2,11,0,2,0
Snx29,257,128,484,93,110,153
Gm4279,0,0,0,0,0,0
4833415N18Rik,4,0,2,2,8,1
Cpped1,463,387,291,283,270,346
Gm9961,105,112,54,18,12,16
Shisa9,133,99,96,88,51,97
4930414F18Rik,9,5,4,4,10,12
Gm38619_1,0,1,0,0,0,1
Gm38619_2,0,0,0,0,0,0
1700003L19Rik,0,0,2,0,0,0
Ercc4,852,721,791,910,859,997
Mkl2,1538,1058,1520,1627,1501,1805
Gm15738,40,5,16,212,139,220
Mir193b,0,0,0,0,0,0
Mir365-1,0,0,0,0,0,0
Gm32817,4,0,0,41,33,56
Mir6365,0,0,0,0,0,2
2310015D24Rik,1,0,0,1,0,0
Gm25276,0,0,0,0,0,0
Parn,1279,906,1537,846,833,1010
Bfar,2153,1531,1452,3040,2913,3313
3110001I22Rik,632,432,1175,441,545,487
Pla2g10,27,4,9,13,12,22
Pla2g10os,1,0,0,0,1,1
Gm49432,1,2,0,0,2,1
Rrn3,4244,3105,3122,2376,2903,2729
Ntan1,1086,759,799,625,640,660
Gm27734,0,0,0,0,0,0
Pdxdc1,4393,3506,4093,2840,3704,3261
Mpv17l,265,158,412,173,127,211
Gm26213,0,0,0,0,0,0
Ifitm7,11,1,2,2,2,6
2900011O08Rik,34,17,30,24,22,27
Marf1,5249,2832,4708,6884,6409,6923
Gm27671,0,0,0,0,0,0
Mir484,0,0,0,0,0,0
Nde1,4213,3069,2549,3572,3574,3656
Myh11,1139,426,2860,299,448,647
Fopnl,1025,820,620,759,826,910
Gm15868,10,0,8,10,6,4
Abcc1,4188,3036,2590,3282,3410,3703
Gm23116,0,0,0,0,0,0
A630010A05Rik,41,21,150,3,3,6
Snai2,135,119,62,160,169,206
Gm25547,0,0,0,0,0,0
Gm33696,0,1,3,1,0,0
Efcab1,16,6,22,18,6,14
Gm21897,0,0,0,0,0,0
Ube2v2,2084,1687,1141,1300,1514,1618
Mcm4,4090,3673,4315,2447,2464,2787
Prkdc,534,370,564,449,380,498
Mzt2,533,348,400,177,168,160
Cebpd,344,249,193,296,531,469
Spidr,1052,655,1253,489,432,482
n-R5s31,0,0,0,0,0,0
Pkp2,1314,1066,1038,750,678,844
Yars2,1417,1325,919,863,918,972
Dnm1l,5701,4923,5670,4990,5651,5539
Gm49521,24,14,28,18,16,19
Fgd4,683,559,464,520,516,550
Olfr19,0,0,0,0,0,0
4933404G15Rik,2,0,0,0,0,0
Spag6l,17,5,30,4,4,2
Igll1,0,0,0,0,0,0
Vpreb1,0,0,0,1,0,4
Top3b,2005,1579,2525,1536,1526,1654
Ppm1f,1474,1131,796,1081,989,1223
AC166832.3,0,0,0,0,0,0
Mapk1,8268,6326,6813,6289,7331,6578
Gm22558,0,0,0,0,0,0
1700056N10Rik,21,34,32,17,4,25
Ypel1,108,93,185,251,185,265
Ppil2,2753,1713,2202,2734,2578,2995
AC154667.1,4,2,1,5,7,4
2610318N02Rik,89,106,78,105,69,137
Mir130b,0,0,0,0,0,0
Mir301b,0,0,1,0,0,0
Sdf2l1,1440,1227,1055,694,737,851
Ccdc116,19,14,21,8,17,25
Ydjc,93,40,44,85,53,98
Ube2l3,6553,5846,3726,3322,4182,3690
Gm22129,0,0,0,0,0,0
Rimbp3,42,35,18,17,12,28
Hic2,689,430,704,290,390,319
AC110573.1,43,17,16,14,21,11
Gm26635,0,0,0,0,1,0
Tmem191c,126,105,102,174,206,267
Pi4ka,3405,2494,3235,4134,4809,4906
Serpind1,0,0,1,1,1,1
Gm24927,0,0,0,0,0,0
Snap29,905,544,1222,492,426,501
Crkl,3507,2449,2075,2375,2880,2544
Gm22770,0,0,0,0,0,0
Aifm3,72,90,63,107,52,140
Lztr1,3436,2469,2000,3514,2991,3704
Thap7,1982,1188,1929,715,615,855
Lrrc74b,8,8,0,10,8,6
P2rx6,34,30,14,112,74,170
Slc7a4,249,180,113,704,528,990
Smpd4,3240,2422,2389,2932,2676,2948
Ccdc74a,389,186,430,249,180,201
Med15,4766,3867,5705,2952,3187,3297
Klhl22,1007,672,658,969,724,1029
Scarf2,18,8,10,190,192,263
AC078895.1,0,0,0,0,0,0
Car15,16,18,4,28,28,22
Gm20518,84,20,24,68,51,80
Dgcr2,4029,3111,2590,2545,2585,3090
Tssk1,14,0,16,4,0,2
Tssk2,10,2,6,6,4,4
Ess2,1938,1446,2035,1132,1335,1462
Gsc2,0,0,0,0,1,0
AA914427,16,6,2,4,5,12
Slc25a1,4190,3111,2835,2349,2335,2424
Vpreb2,0,0,0,0,0,0
AC087064.2,0,0,0,0,1,0
Dgcr6,1096,774,1106,430,477,572
Prodh,739,492,958,386,394,438
Rtn4r,124,43,298,18,26,12
Mir6366,0,0,0,0,0,0
AC118542.1,0,0,4,6,2,8
AC118542.3,2,0,0,2,8,0
Ccdc188,2,0,0,6,6,2
Zdhhc8,4299,2522,4595,2732,2729,2782
Ranbp1,9905,8338,5854,3564,3811,4052
Gm25777,4,3,6,2,2,3
AC084822.2,0,6,0,4,8,6
Trmt2a,2032,1393,1422,1346,1160,1489
Dgcr8,2719,2078,1627,2250,2230,2563
Mir1306,0,0,0,0,0,0
Gm24572,0,0,0,0,0,0
Tango2,537,365,431,444,402,434
Mir185,0,0,0,0,0,0
Arvcf,278,155,388,272,244,320
Gm26170,0,0,0,0,0,0
Gm26219,0,0,0,0,0,0
Comt,1232,853,737,698,665,808
Gm15764,4,0,6,5,4,2
Txnrd2,522,414,297,402,302,435
AC133487.1,1,1,4,2,1,3
Gnb1l,839,340,702,356,196,381
Rtl10,112,54,72,83,67,74
Tbx1,4,6,2,8,10,5
4930588K23Rik,0,2,4,0,0,0
Gp1bb,0,0,0,0,8,4
AC133488.1,82,48,48,127,109,122
Septin5,918,575,291,931,1009,802
Cldn5,10,0,0,10,30,22
Cdc45,2057,1588,1790,1365,1409,1481
Ufd1,3758,2977,2233,3306,3259,3363
2510002D24Rik,239,163,189,308,318,390
Gm28539,349,170,333,1226,1621,1330
Mrpl40,897,648,726,508,488,685
Hira,1581,1221,1052,1854,2328,2303
2010309G21Rik,11,14,48,1,2,6
Iglc1,0,0,0,0,0,0
Iglj1,0,0,0,0,0,0
Iglc3,25,11,62,3,0,4
Iglj3p,0,0,0,0,0,0
Iglj3,0,0,0,0,0,0
Iglv1,2,0,7,0,0,0
Iglc4,0,0,2,0,0,0
Iglj4,0,0,0,0,0,0
Iglc2,14,26,66,0,2,2
Iglj2,0,0,0,0,0,0
Gm43388,0,0,1,0,0,0
Gm42870,0,0,0,0,0,0
Iglv3,0,0,0,0,0,0
A530030E21Rik,0,1,0,0,0,0
Iglv2,0,0,0,0,0,0
Olfr164,0,1,0,0,0,2
Gm22158,0,0,0,0,0,0
Gm23612,0,0,0,0,0,0
Olfr165,1,0,0,1,0,0
Gm25762,0,0,0,0,0,0
Olfr166,0,0,0,0,0,1
Olfr167,0,0,0,0,0,0
Olfr168,0,0,0,0,1,0
Olfr169,0,0,0,0,0,0
Olfr170,0,0,0,0,0,0
Olfr171,0,0,0,0,1,0
Lamp3,1,6,0,4,7,2
B3gnt5,77,127,56,22,34,48
A930003A15Rik,0,4,0,0,0,0
AC164558.1,0,0,0,0,0,0
Gm27883,0,0,0,0,0,0
Klhl6,3,2,4,18,18,29
Klhl24,1027,694,911,2238,2054,2486
Yeats2,2964,2156,1724,3656,3368,4078
Map6d1,105,53,44,258,271,277
AC120150.1,0,0,0,17,3,10
Parl,4059,2509,7240,1637,1846,1974
Cyp2ab1,2,0,1,5,4,2
Abcc5,2244,1443,1441,3219,3089,3614
Gm23332,0,0,0,0,0,0
Eif2b5,2817,2340,1727,1591,1741,1675
Gm16618,123,97,67,38,54,42
Dvl3,6225,3855,5358,4076,3837,3913
Ap2m1,11743,8992,7671,6532,7571,7070
Abcf3,5146,3356,7439,2280,2418,2737
AC087898.2,0,0,0,0,2,0
Vwa5b2,22,14,24,16,21,28
AC087898.3,0,0,0,0,0,0
